OCC|Date exportation|Pays d'exportation|Quantite|PU|PT|EQ DT|EQ EU|Devise|Produit
Ccpb|2025-05-02|Pays-Bas|3000.0|2.7|8100.000000000001|129408.0|38400.0|3.37|Dattes dénoyautées
Ccpb|2025-05-06|CANADA|4000.0|3.73|14920|27216.0|8100.000000000001|3.36|Poudre de dattes
Ccpb|2025-05-06|CANADA|200.0|6.58|1316|4421.76|1316.0|3.36|Poudre de dattes
Ccpb|2025-05-05|France|6000.0|1.6|9600|32640.0|9600.0|3.4|Pâte de dattes
Ccpb|2025-05-05|Allemagne|19800.0|3.2|63360|213523.2|63360.0|3.37|Dattes dénoyautées
Ccpb|2025-05-06|Espagne|1920.0|2.0|3840|13056.0|3840.0|3.4|Pâte de dattes
Ccpb|2025-05-13|Bretagne|4000.0|2.8|11200|37856.0|11200.0|3.38|Poudre de dattes
Ccpb|2025-05-13|USA|19200.0|2.46|44196.96|148943.7552|44196.96|3.37|Poudre de dattes
Ccpb|2025-05-14|Slovaquie|6550.0|0.88|5764|19597.6|5764.0|3.4|Pâte de dattes
Ccpb|2025-05-14|Slovaquie|800.0|1.9|1520|5168.0|1520.0|3.4|Dattes dénoyautées
Ccpb|2025-05-14|Slovaquie|2400.0|2.15|5160|17544.0|5160.0|3.4|Poudre de dattes
Ccpb|2025-05-15|Allemagne|22000.0|2.4|52800|176880.0|52800.0|3.35|Poudre de dattes
Ccpb|2025-05-20|France|12096.0|0.5283|6390.3168|21471.464448|6390.3168|3.36|Pâte de dattes
Ccpb|2025-05-22|Espagne|5940.0|2.95|17523|58877.28|17523.0|3.36|Dattes dénoyautées
Ccpb|2025-05-22|Espagne|1920.0|2.0|3840|12902.4|3840.0|3.36|Pâte de dattes
Ccpb|2025-05-23|Turquie|25000.0|1.8539|46347.5|155727.6|46347.5|3.36|Dattes dénoyautées
Ccpb|2025-05-27|Allemagne|5292.0|2.6|13759.2|46230.912|13759.2|3.36|Dattes dénoyautées
Ccpb|2025-05-30|Italie|19012.8|2.93|55707.504|187177.21344|55707.504|3.36|Dattes dénoyautées
Ccpb|2025-05-30|Allemagne|19296.0|2.45|47275.2|158844.672|47275.2|3.36|Dattes dénoyautées
Ccpb|2025-06-03|Allemagne|22000.0|2.4|52800|177936.0|52800.0|3.37|Poudre de dattes
Ccpb|2025-06-04|Pays-Bas|9600.0|2.65|25440|85478.4|25440.0|3.36|Poudre de dattes
Ccpb|2025-06-04|Allemagne|109.2|6.9230769230769225|756|2540.16|756.0|3.36|Sirop de dattes
Ccpb|2025-06-04|Allemagne|109.2|6.9230769230769225|756|2540.16|756.0|3.36|Confiture de dattes
Ccpb|2025-06-04|Allemagne|1610.0|1.6012422360248446|2578|8662.08|2578.0|3.36|Pâte de dattes
