OCC|Date exportation|Devise|EQ DT|EQ EU|PT|PU|Pays d'exportation|Quantite|Produit
les molins mahjoub|2025-09-27|1.15|1453.626001871945|70.38|425.0368426526155|6.039170824845347|uk|61.2|sauce tibar
les molins mahjoub|2025-09-28|1.15|726.8130009359725|35.190000000000005|212.5184213263078|6.039170824845347|uk|30.6|sauce teboursok
les molins mahjoub|2025-09-29|1.15|2374.25580305751|114.954|694.226842999272|6.039170824845347|uk|99.96|sauce tebourba
les molins mahjoub|2025-09-30|1.15|630.8016362117377|34.500000000000014|184.4449228689292|5.346229648374758|uk|30.0|ww m'hamsa
les molins mahjoub|2025-10-01|1.15|757.0989006239815|23.459999999999994|221.3739475508718|9.43622964837476|uk|20.4|citron confit
les molins mahjoub|2025-10-02|1.15|8861.341558373486|204.23999999999992|2591.03554338406|12.68622964837476|uk|177.6|piments grillés
les molins mahjoub|2025-10-03|1.15|9480.828610607687|398.81999999999994|2772.172108364821|6.950935530727699|uk|346.8|shak shuka
les molins mahjoub|2025-10-04|1.15|1084.20818896939|27.59999999999999|317.0199382951433|11.48622964837476|uk|24.0|artichaut
les molins mahjoub|2025-10-05|1.15|3297.966779186744|102.11999999999999|964.3177716920304|9.442986405131517|uk|88.8|tige d'artichaut
les molins mahjoub|2025-10-06|1.15|1153.329460768884|73.14000000000001|337.2308364821299|4.610757950261551|uk|63.6|confiture d'orange amer
les molins mahjoub|2025-10-07|1.15|2158.785320289805|99.36|631.223777862516|6.352896315041425|uk|86.4|confiture de figue
les molins mahjoub|2025-10-08|1.15|456.4108592089298|14.489999999999993|133.4534676049502|9.210039172184283|uk|12.6|sauce de citron et figue
les molins mahjoub|2025-09-18|1.0|572.88|168|168.0|8.75|france|19.2|olive au citron
les molins mahjoub|2025-09-19|1.0|186.5952|54.72|54.72|11.4|france|4.8|tomate séché
les molins mahjoub|2025-09-20|1.0|282.151584|82.7424|82.7424|6.76|france|12.24|shak shuka
les molins mahjoub|2025-09-25|1.0|547.9188|160.68|160.68|10.3|danemark|15.6|olive en saumure
les molins mahjoub|2025-09-26|1.0|364.188|106.8|106.8|14.24|danemark|7.5|olive au citron
les molins mahjoub|2025-09-27|1.0|3240.864|950.4000000000001|950.4000000000001|10.0|danemark|95.04|pate d'olive
les molins mahjoub|2025-09-28|1.0|1153.944|338.4|338.4|28.2|danemark|12.0|capre
les molins mahjoub|2025-09-29|1.0|1473.12|432|432.0|12.0|danemark|36.0|tomate séché
les molins mahjoub|2025-09-30|1.0|10305.94752|3022.272|3022.272|11.66|danemark|259.2|pâte de tomate séché
les molins mahjoub|2025-10-01|1.0|1460.575974|428.3214|428.3214|11.57|danemark|37.02|harissa
les molins mahjoub|2025-10-02|1.0|522.564768|153.2448|153.2448|6.26|danemark|24.48|sauce tibar
les molins mahjoub|2025-10-03|1.0|1388.0064|407.04|407.04|10.6|danemark|38.4|citron confit
les molins mahjoub|2025-10-04|1.0|656.766|192.6|192.6|10.7|danemark|18.0|slice de citron confit
les molins mahjoub|2025-10-05|1.0|2020.13856|592.416|592.416|14.96|danemark|39.6|artichaut
les molins mahjoub|2025-10-06|1.0|2123.4411|622.7099999999999|622.7099999999999|18.7|danemark|33.3|pate d'artichaut
